Currency,Name,Units per TZS,TZS per unit
VES,Venezuelan Bolívar,0.014155646,70.64319095
BYN,Belarusian Ruble,0.001312008,762.190478
UZS,Uzbekistani Som,4.916434693,0.203399427
BGN,Bulgarian Lev,0.000721702,1385.613657
DZD,Algerian Dinar,0.053606954,18.65429637
IRR,Iranian Rial,16.73526213,0.059754069
DOP,Dominican Peso,0.022734498,43.98601699
ISK,Icelandic Krona,0.05553612,18.00629929
CRC,Costa Rican Colon,0.210110038,4.75941087
XAG,Silver Ounce,1.7634E-05,56708.60252
SYP,Syrian Pound,5.177226623,0.193153608
JMD,Jamaican Dollar,0.06200285,16.12829089
LYD,Libyan Dinar,0.001924513,519.6119773
GHS,Ghanaian Cedi,0.00479371,208.6067108
MUR,Mauritian Rupee,0.017764005,56.29361145
AOA,Angolan Kwanza,0.334259086,2.991691304
UYU,Uruguayan Peso,0.015874383,62.9945738
AFN,Afghan Afghani,0.0276984,36.10316823
LBP,Lebanese Pound,5.992311162,0.16688052
XPF,CFP Franc,0.044033451,22.71000747
TTD,Trinidadian Dollar,0.002703866,369.8407485
TZS,Tanzanian Shilling,1,1
ALL,Albanian Lek,0.037771086,26.47527789
XCD,East Caribbean Dollar,0.001075464,929.8308528
GTQ,Guatemalan Quetzal,0.003115787,320.9461693
NPR,Nepalese Rupee,0.053129365,18.82198276
BOB,Bolivian Bolíviano,0.002751076,363.4941238
ZWD,Zimbabwean Dollar,0.144107392,6.939269286
BBD,Barbadian or Bajan Dollar,0.000796393,1255.660777
CUC,Cuban Convertible Peso,0.000398197,2511.321554
LAK,Lao Kip,8.222232262,0.121621473
BND,Bruneian Dollar,0.000534267,1871.724533
BWP,Botswana Pula,0.005447434,183.5726694
HNL,Honduran Lempira,0.009818793,101.845515
PYG,Paraguayan Guarani,2.935818283,0.340620537
ETB,Ethiopian Birr,0.022394157,44.65450436
NAD,Namibian Dollar,0.007588771,131.7736348
PGK,Papua New Guinean Kina,0.001478976,676.1434539
SDG,Sudanese Pound,0.239257816,4.179591781
MOP,Macau Pataca,0.003204757,312.0360942
BMD,Bermudian Dollar,0.000398197,2511.321554
NIO,Nicaraguan Cordoba,0.0145754,68.6087526
BAM,Bosnian Convertible Mark,0.000721702,1385.613657
KZT,Kazakhstani Tenge,0.182658144,5.474707979
PAB,Panamanian Balboa,0.000398197,2511.321554
GYD,Guyanese Dollar,0.083208966,12.01793563
YER,Yemeni Rial,0.09970543,10.02954399
MGA,Malagasy Ariary,1.830236455,0.54637749
KYD,Caymanian Dollar,0.000326758,3060.371606
MZN,Mozambican Metical,0.025428178,39.32645132
RSD,Serbian Dinar,0.043238548,23.12751112
SCR,Seychellois Rupee,0.005659951,176.679961
AMD,Armenian Dram,0.159955775,6.251728016
AZN,Azerbaijan Manat,0.000676912,1477.297152
SBD,Solomon Islander Dollar,0.00337447,296.34281
SLL,Sierra Leonean Leone,9.027223487,0.110776032
TOP,Tongan Pa'anga,0.000942967,1060.482145
BZD,Belizean Dollar,0.000802469,1246.154526
